station,dayofweek,hour,criticality,longitude,latitude
1,Mon,0,0.4581005586592179,2.180019,41.397978
1,Mon,1,0.4329608938547486,2.180019,41.397978
1,Thu,4,0.403899721448468,2.180019,41.397978
1,Sun,23,0.388086642599278,2.180019,41.397978
1,Mon,2,0.38341968911917096,2.180019,41.397978
1,Sat,0,0.3743016759776536,2.180019,41.397978
1,Sun,22,0.37122557726465366,2.180019,41.397978
1,Fri,1,0.3659217877094972,2.180019,41.397978
1,Sun,0,0.34108527131782945,2.180019,41.397978
1,Fri,0,0.3380281690140845,2.180019,41.397978
1,Sat,1,0.3352272727272727,2.180019,41.397978
1,Tue,0,0.3307291666666667,2.180019,41.397978
1,Thu,3,0.32590529247910865,2.180019,41.397978
1,Tue,1,0.3191489361702128,2.180019,41.397978
1,Mon,3,0.31733333333333336,2.180019,41.397978
2,Fri,1,0.31564245810055863,2.176414,41.394381
1,Thu,7,0.30560578661844484,2.180019,41.397978
1,Wed,2,0.29562982005141386,2.180019,41.397978
1,Thu,23,0.2862190812720848,2.180019,41.397978
1,Thu,2,0.2857142857142857,2.180019,41.397978
1,Fri,2,0.28450704225352114,2.180019,41.397978
1,Thu,1,0.2722222222222222,2.180019,41.397978
2,Fri,2,0.2676056338028169,2.176414,41.394381
1,Thu,6,0.26455026455026454,2.180019,41.397978
1,Fri,23,0.2604166666666667,2.180019,41.397978
2,Thu,7,0.25765765765765763,2.176414,41.394381
1,Wed,5,0.25272727272727274,2.180019,41.397978
1,Mon,4,0.25139664804469275,2.180019,41.397978
1,Sat,2,0.25139664804469275,2.180019,41.397978
1,Sat,3,0.25069637883008355,2.180019,41.397978
